,event_people_assoc_id,event_id,person_id,person_role
0,1,1,9.0,Owner
15,2,2,881.0,Owner
16,3,3,2876.0,Purchaser
17,4,3,2877.0,Purchaser
20,5,4,1203.0,Purchaser
24,6,5,3080.0,Owner
25,7,6,1800.0,Purchaser
26,8,7,51.0,Owner
27,9,7,52.0,Owner
31,10,7,53.0,Owner
32,11,7,54.0,Owner
39,12,8,123.0,Owner
43,13,8,124.0,Owner
45,14,9,1171.0,Purchaser
46,15,10,324.0,Owner
48,16,11,1157.0,Purchaser
49,17,11,1158.0,Purchaser
50,18,12,324.0,Owner
52,19,13,1157.0,Purchaser
53,20,13,1158.0,Purchaser
54,21,14,1227.0,Owner
55,22,15,2348.0,Purchaser
56,23,15,2349.0,Purchaser
57,24,15,2350.0,Purchaser
58,25,16,1191.0,Purchaser
59,26,17,1567.0,Owner
60,27,18,2357.0,Owner
63,28,18,2358.0,Owner
64,29,19,1196.0,Purchaser
65,30,20,543.0,Purchaser
66,31,21,1282.0,Owner
67,32,22,2235.0,Heir
69,33,22,2236.0,Heir
70,34,22,2237.0,Heir
71,35,23,2847.0,Heir
72,36,23,2848.0,Heir
73,37,23,2849.0,Heir
74,38,23,2850.0,Heir
75,39,24,678.0,Heir
76,40,25,2002.0,Heir
77,41,26,1646.0,Heir
78,42,27,1410.0,Heir
79,43,28,2800.0,Heir
80,44,29,93.0,Owner
82,45,30,911.0,Heir
84,46,31,117.0,Owner
85,47,32,2405.0,Purchaser
88,48,32,2406.0,Purchaser
89,49,33,2459.0,Owner
90,50,34,1332.0,Purchaser
91,51,34,1333.0,Purchaser
94,52,35,1800.0,Purchaser
98,53,35,1801.0,Purchaser
101,54,35,1802.0,Purchaser
102,55,36,353.0,Owner
104,56,37,2472.0,Heir
106,57,37,2473.0,Heir
107,58,37,2474.0,Heir
108,59,38,2117.0,Heir
110,60,38,2118.0,Heir
115,61,39,3068.0,Owner
116,62,40,2423.0,Owner
117,63,41,611.0,Heir
118,64,41,612.0,Heir
119,65,41,613.0,Heir
121,66,41,614.0,Heir
122,67,42,8.0,Heir
128,68,43,1600.0,Owner
129,69,44,239.0,Owner
130,70,44,240.0,Owner
131,71,45,2491.0,Heir
139,72,46,1890.0,Heir
140,73,46,1891.0,Heir
141,74,46,1892.0,Heir
147,75,47,2613.0,Owner
148,76,48,2701.0,Purchaser
150,77,48,2702.0,Purchaser
