parcel_id,block_num,parcel_num,ward_num,land_use
1,34,7,4,Commercial
2,59,14,4,Residential
3,59,15,4,Residential
4,59,16,4,Residential
5,59,18,4,Residential
6,59,19,4,Residential
7,71,15,4,Commercial
8,5,2,4,Residential 
9,5,19,4,Residential 
10,53,12,4,Residential
11,53,15A,4,Residential
12,53,15B,4,Residential
13,53,16,4,Residential
14,55,10,4,Residential
15,55,11,4,Residential
16,3,22,4,Residential
17,3,23,4,Residential
18,3,24,4,Commercial
19,3,25,4,Commercial
20,4,15,4,Residential
21,4,16,4,Residential
22,4,17,4,Commercial
23,4,18,4,Residential
24,4,19,4,Residential
25,16,1,4,Residential
26,16,2,4,Residential
27,16,3,4,Residential
28,16,4,4,Residential
29,16,5,4,Residential
30,16,6,4,Residential
31,16,7,4,Residential
32,16,8,4,Residential
33,16,9,4,Residential
34,16,10,4,Residential
35,16,11,4,Residential
36,16,12,4,Residential
37,16,13,4,Residential
38,16,14,4,Residential
39,16,15,4,Residential
40,16,16,4,Residential
41,16,17,4,Residential
42,16,18,4,Residential
43,16,19,4,Residential
44,16,20,4,Residential
45,17,1,4,Residential
46,17,2,4,Residential
47,17,3,4,Residential
48,17,4,4,Residential
49,17,5,4,Residential
50,17,6,4,Residential
51,17,8,4,Residential
52,17,9A,4,Residential
53,17,9B,4,Residential
54,17,10,4,Residential
55,17,11,4,Residential
56,17,12,4,Residential
57,17,13,4,Residential
58,17,14,4,Residential
59,17,15,4,Residential
60,17,17,4,Residential
61,17,29,4,Residential 
62,17,30,4,Residential
63,17,31,4,Residential
64,17,32,4,Residential
65,17,33,4,Residential
66,17,34,4,COmmercial
67,17,35,4,Residential
68,17,36,4,Residential
69,17,37,4,Residential
70,18,3,4,Residential
71,18,4,4,Residential
72,18,5,4,Residential
73,27,7,4,Residential
74,27,8,4,Residential
75,27,9,4,Residential
76,27,10,4,Residential
77,27,11,4,Residential
78,27,12,4,Institutional
79,27,13,4,Residential
80,27,14,4,Residential
81,27,15,4,Residential
82,27,16,4,Residential
83,27,19,4,Residential
84,27,25,4,Residential
85,27,26,4,Residential
86,27,27,4,Residential
87,27,28,4,Residential
88,27,29,4,Residential
89,28,1,4,Residential
90,28,3A,4,Residential
91,28,4,4,Residential
92,28,5,4,Residential
93,28,6,4,Residential
94,28,7A,4,Residential
95,28,8B,4,Residential
96,28,9,4,Residential
97,28,10,4,Residential
98,28,11,4,Residential
99,28,12,4,Residential
100,28,13,4,Residential
101,28,14,4,Residential
102,28,15,4,Residential
103,28,16,4,Residential
104,28,18,4,Residential
105,28,19,4,Residential
106,28,20,4,Residential
107,28,21,4,Residential
108,28,22,4,Residential
109,28,23,4,Residential
110,29,1,4,Residential
111,29,3,4,Residential
112,29,7,4,Residential
113,29,12,4,Residential
114,33,11,4,Residential
115,10,17,4,Residential
116,44,24,4,Residential
117,44,25,4,Residential
118,44,26,4,Residental
119,45,2,4,Residental
120,45,3,4,Residental
121,45,4,4,Residential
122,45,5,4,Residential
123,45,6,4,Residential
124,45,7,4,Residential
125,45,8,4,Residential
126,45,9,4,Residential
127,45,30,4,Residential
128,45,31,4,Residential
129,45,32,4,Residential
130,45,33,4,Residential
131,45,34,4,Residential
132,46,1,4,Commercial
133,46,2,4,Commercial
134,46,3,4,Commercial
135,46,4,4,Residential
136,46,5,4,Residential
137,46,6,4,Residential
138,46,7,4,Residential
139,46,8,4,Residential
140,46,9,4,Residential
141,46,10,4,Residential
142,46,11,4,Residential
143,46,12,4,Residential
144,46,13,4,Residential
145,46,15,4,Residential
146,46,16,4,Residential
147,46,17,4,Residential
148,46,18,4,Residential
149,46,19,4,Residential
150,47,1,4,Commercial
151,47,2,4,Commercial
152,47,3,4,Commercial
153,47,4,4,Commercial
154,47,5,4,Resiential
155,47,6,4,Commercial
156,47,7,4,Commercial
157,47,8,4,Residential
158,47,9,4,Commercial
159,47,10,4,Commercial
160,47,11,4,Commercial
161,47,12,4,Commercial
162,47,13,4,Commercial
163,47,14,4,Commercial
164,47,15,4,Residential
165,47,16,4,Residential
166,47,17,4,Residential
167,47,18,4,Residential
168,47,19,4,Residential
169,47,20,4,Residential
170,47,21,4,Residential
171,47,22,4,Residential
172,47,23,4,Residential
173,47,24,4,Residential
174,47,25,4,Residential
175,47,26,4,Residential
176,47,27,4,Residential
177,48,1,4,Residential
178,48,2,4,Residential
179,48,8,4,Commercial
180,48,10,4,Commercial
181,48,11,4,Residential & Commercial
182,48,13,4,Residential
183,48,14,4,Residential
184,48,15,4,Residential
185,48,16,4,Residential
186,48,17,4,Residential
187,48,18,4,Residential
188,48,19,4,Residential
189,48,20,4,Residential
190,48,21,4,Residential
191,48,22,4,Residential
192,48,23,4,Residential
193,48,24,4,Residential
194,48,25,4,Residential
195,48,26,4,Residential
196,48,27,4,Residential
197,48,28,4,Residential
198,49,3,4,Residential
199,49,4,9,Residential
200,49,13,4,Industrial
201,49,15,4,Commercial
202,49,17,4,Residential
203,50,2,4,Residential
204,30,18,4,Residential
205,31,17,4,Residential
206,31,20,4,Residential
207,31,21,4,Redisential
208,32,6,4,Residental 
209,32,14,4,Commercial
210,6,2,4,Commercial
211,6,3,4,Commercial
212,6,4,4,Residential
213,6,15,4,Residential
214,6,17,4,Residential
215,6,21,4,Residential
216,6,22,4,Residential
217,6,25,4,Residential
218,6,39,4,Residential
219,6,43,4,Residential
220,6,44,4,Residential
221,6,50,4,Residential
222,6,51,4,Residential
223,6,52,4,Residential
224,30,19,4,Residential
225,4,14,4,Residential
226,6,69,4,Residential
227,14,1,4,Residential
228,14,2,4,Commercial
229,14,8,4,Residential
230,14,12,4,Residential
231,14,13,4,Residential
232,30,27,4,"Residential 
Commercial"
233,30,39A,4,Residential
234,17,19,4,Residential
235,17,20,4,Residential
236,17,21,4,Residential
237,17,22,4,Residential
238,17,23,4,Residential
239,17,24,4,Residential
240,17,25,4,Commercial
241,17,26,4,Commercial
242,17,27,4,Commercial
243,17,28,4,Residential
244,4,21,4,Residential
245,4,22,4,Commercial
246,5,21,4,Residential
247,5,22,4,Commercial
248,5,23,4,Commercial
249,5,24,4,Commercial
250,5,25,4,Residential
251,5,26,4,Commercial
252,5,27,4,Residential
253,6,1,4,Commercial
254,6,5,4,Commercial
255,6,12,4,Residential
256,6,13,4,Residential
257,6,14A,4,Residential
258,6,14C,4,Residential
259,6,37,4,Residential
260,6,38,4,Residential
261,6,40,4,Residential
262,6,41,4,Residential
263,6,42,4,Residential
264,6,47,4,Residential
265,6,48,4,Residential
266,6,49,4,Residential
267,53,9,4,Residential
268,55,1,4,Residential
269,4,23,4,Commercial
270,4,24,4,Commercial
271,50,18,4,Residential
272,50,19,4,Residential
273,55,6,4,Commercial
274,55,7,4,Residential 
275,55,8,4,Residental
276,55,9,4,Residential
277,55,51,3,Residential
278,3,11,4,Residential
279,3,13,4,Residential
280,3,14,4,Residential
281,3,15,4,Residential
282,3,16,4,Residential
283,3,17,4,Residential
284,3,18,4,Residential
285,3,19,4,Residential
286,3,20,4,Residential
287,3,21,4,Residential
288,3,1,4,Commercial
289,3,2,4,Residential
290,3,3,4,Residential
291,3,4,4,Residential
292,3,5,4,Residential
293,3,6,4,Residential
294,3,7,4,Residential
295,3,8,4,Residential
296,3,9,4,Residential
297,3,10,4,Residential
298,18,6,4,Residential
299,18,7,4,Residential
300,19,1,4,Residential
301,19,2,4,Residential
302,19,3,4,Residential
303,19,5,4,Residential
304,19,6,4,Residential
305,19,9,4,Residential
306,19,10,4,Residential
307,19,11,4,Residential
308,19,13,4,Residential
309,19,14,4,Residential
310,19,17,4,Residential
311,19,18,4,Residential
312,19,22,4,Residential
313,19,23,4,Residential
314,19,24,4,Residential
315,19,25,4,Residential
316,19,26,4,Residential
317,19,27,4,Residential
318,19,28,4,Residential
319,19,29,4,Residential
320,20,1,4,Residential
321,20,2,4,Residential
322,20,6,4,Residential
323,20,7,4,Residential
324,20,24,4,Residential
325,21,6,4,Residential
326,21,13,4,Residential
327,21,14,4,Residential
328,25,1,4,Residential
329,25,2,4,Residential
330,25,3,4,Residential
331,25,4,4,Residential
332,25,5,4,Residential
333,25,6,4,Residential
334,25,7,4,Residential
335,25,8,4,Residential
336,25,9,4,Residential
337,25,10,4,Residential
338,26,1,4,Residential
339,26,2,4,Residential
340,26,3,4,Residential
341,26,4,4,Residential
342,26,5,4,Residential
343,26,6,4,"Residential
"
344,26,7,4,Residential
345,26,8,4,Residential
346,27,1,4,Residential
347,27,2,4,Residential
348,27,3,4,Residential
349,27,4,4,Residential
350,27,5,4,Residential
351,27,6,4,Residential
352,27,17,4,Residential
353,27,18,4,Residential
354,27,20,4,Residential
355,27,21,4,Residential
356,27,22,4,Residential
